image,top1,top3
0031900.png,7,"[7, 2, 3]"
0031904.png,2,"[2, 8, 9]"
0031910.png,2,"[2, 9, 3]"
0031911.png,2,"[2, 7, 6]"
0031925.png,3,"[3, 2, 5]"
0031927.png,2,"[2, 3, 7]"
0031939.png,2,"[2, 8, 6]"
0031943.png,2,"[2, 8, 9]"
0031950.png,2,"[2, 3, 6]"
0031951.png,2,"[2, 3, 7]"
0031953.png,2,"[2, 3, 7]"
0031958.png,2,"[2, 7, 3]"
0031959.png,9,"[9, 2, 6]"
0031961.png,2,"[2, 3, 7]"
0031962.png,2,"[2, 9, 3]"
0031974.png,2,"[2, 3, 7]"
0031975.png,2,"[2, 7, 3]"
0031976.png,2,"[2, 7, 3]"
0031980.png,2,"[2, 3, 7]"
0031986.png,2,"[2, 3, 7]"
0032017.png,2,"[2, 3, 7]"
0032026.png,2,"[2, 8, 3]"
0032032.png,2,"[2, 3, 7]"
0032034.png,2,"[2, 7, 3]"
0032038.png,2,"[2, 9, 3]"
0032039.png,2,"[2, 8, 9]"
0032045.png,2,"[2, 3, 7]"
0032046.png,2,"[2, 3, 7]"
0032047.png,2,"[2, 3, 7]"
0032063.png,2,"[2, 0, 5]"
0032066.png,2,"[2, 8, 3]"
0032068.png,2,"[2, 9, 7]"
0032070.png,2,"[2, 7, 3]"
0032071.png,2,"[2, 7, 3]"
0032073.png,2,"[2, 3, 7]"
0032079.png,2,"[2, 7, 3]"
0032082.png,2,"[2, 3, 7]"
0032085.png,2,"[2, 3, 7]"
0032090.png,2,"[2, 3, 7]"
0032091.png,2,"[2, 3, 7]"
0032096.png,2,"[2, 3, 9]"
0032100.png,2,"[2, 7, 9]"
0032106.png,2,"[2, 3, 7]"
0032108.png,2,"[2, 3, 7]"
0032113.png,2,"[2, 7, 3]"
0032116.png,2,"[2, 7, 3]"
0032118.png,2,"[2, 3, 8]"
0032119.png,2,"[2, 9, 3]"
0032123.png,9,"[9, 2, 8]"
0032125.png,2,"[2, 7, 3]"
0032128.png,2,"[2, 7, 3]"
0032130.png,2,"[2, 8, 9]"
0032134.png,2,"[2, 3, 7]"
0032137.png,2,"[2, 9, 7]"
0032138.png,2,"[2, 3, 7]"
0032143.png,2,"[2, 7, 3]"
0032147.png,2,"[2, 3, 7]"
0032150.png,2,"[2, 8, 3]"
0032154.png,2,"[2, 7, 4]"
0032167.png,2,"[2, 8, 3]"
0032174.png,2,"[2, 3, 5]"
0032182.png,2,"[2, 3, 5]"
0032187.png,2,"[2, 7, 3]"
0032188.png,2,"[2, 3, 6]"
0032191.png,2,"[2, 7, 3]"
0032203.png,2,"[2, 3, 7]"
0032209.png,2,"[2, 7, 3]"
0032211.png,2,"[2, 3, 7]"
0032216.png,2,"[2, 7, 3]"
0032225.png,2,"[2, 6, 4]"
0032227.png,2,"[2, 3, 8]"
0032234.png,2,"[2, 8, 9]"
0032241.png,2,"[2, 3, 7]"
0032246.png,8,"[8, 2, 6]"
0032255.png,2,"[2, 3, 5]"
0032267.png,2,"[2, 7, 3]"
0032272.png,2,"[2, 3, 7]"
0032274.png,2,"[2, 3, 7]"
0032277.png,2,"[2, 3, 7]"
0032282.png,2,"[2, 3, 7]"
0032283.png,2,"[2, 3, 7]"
0032285.png,2,"[2, 7, 3]"
0032290.png,2,"[2, 3, 7]"
0032300.png,2,"[2, 9, 8]"
0032301.png,6,"[6, 2, 4]"
0032302.png,2,"[2, 5, 3]"
0032307.png,2,"[2, 3, 8]"
0032309.png,2,"[2, 3, 9]"
0032315.png,2,"[2, 8, 9]"
0032316.png,2,"[2, 7, 3]"
0032322.png,2,"[2, 7, 3]"
0032325.png,2,"[2, 3, 8]"
0032326.png,2,"[2, 3, 5]"
0032330.png,2,"[2, 9, 8]"
0032338.png,2,"[2, 7, 3]"
0032340.png,2,"[2, 8, 9]"
0032341.png,2,"[2, 8, 9]"
0032345.png,2,"[2, 3, 8]"
0032355.png,2,"[2, 3, 8]"
0032356.png,2,"[2, 3, 7]"
0032358.png,2,"[2, 5, 3]"
0032367.png,2,"[2, 8, 9]"
0032382.png,2,"[2, 3, 7]"
0032384.png,2,"[2, 8, 6]"
0032386.png,2,"[2, 8, 9]"
0032393.png,2,"[2, 7, 9]"
0032398.png,2,"[2, 3, 6]"
0032403.png,2,"[2, 7, 8]"
0032407.png,2,"[2, 7, 5]"
0032409.png,2,"[2, 8, 3]"
0032412.png,2,"[2, 8, 3]"
0032413.png,2,"[2, 8, 0]"
0032416.png,2,"[2, 3, 7]"
0032419.png,2,"[2, 3, 7]"
0032428.png,2,"[2, 8, 7]"
0032430.png,2,"[2, 8, 9]"
0032431.png,2,"[2, 9, 8]"
0032434.png,2,"[2, 9, 7]"
0032437.png,7,"[7, 2, 3]"
0032455.png,2,"[2, 9, 8]"
0032469.png,2,"[2, 3, 0]"
0032473.png,2,"[2, 9, 3]"
0032474.png,2,"[2, 9, 5]"
0032476.png,8,"[8, 2, 3]"
0032478.png,2,"[2, 3, 5]"
0032479.png,2,"[2, 6, 9]"
0032480.png,2,"[2, 8, 3]"
0032481.png,2,"[2, 8, 9]"
0032490.png,2,"[2, 3, 6]"
0032495.png,2,"[2, 8, 6]"
0032501.png,2,"[2, 3, 7]"
0032512.png,7,"[7, 2, 5]"
0032518.png,2,"[2, 7, 3]"
0032524.png,2,"[2, 9, 8]"
0032526.png,2,"[2, 3, 8]"
0032528.png,2,"[2, 8, 9]"
0032532.png,2,"[2, 3, 7]"
0032535.png,2,"[2, 8, 9]"
0032536.png,2,"[2, 9, 5]"
0032542.png,2,"[2, 8, 9]"
0032548.png,2,"[2, 7, 3]"
0032563.png,2,"[2, 7, 5]"
0032567.png,2,"[2, 9, 7]"
0032572.png,2,"[2, 3, 7]"
0032574.png,2,"[2, 7, 9]"
0032578.png,2,"[2, 8, 6]"
0032579.png,2,"[2, 8, 3]"
0032582.png,2,"[2, 3, 9]"
0032584.png,2,"[2, 3, 7]"
0032585.png,2,"[2, 3, 7]"
0032596.png,2,"[2, 7, 9]"
0032600.png,2,"[2, 7, 9]"
0032617.png,2,"[2, 3, 5]"
0032620.png,2,"[2, 7, 3]"
0032621.png,2,"[2, 7, 3]"
0032623.png,2,"[2, 9, 8]"
0032629.png,2,"[2, 7, 3]"
0032631.png,2,"[2, 8, 3]"
0032635.png,2,"[2, 3, 7]"
0032638.png,2,"[2, 9, 3]"
0032639.png,2,"[2, 8, 3]"
0032643.png,2,"[2, 7, 3]"
0032647.png,2,"[2, 9, 3]"
0032653.png,2,"[2, 9, 7]"
0032654.png,2,"[2, 5, 4]"
0032655.png,2,"[2, 4, 6]"
0032657.png,2,"[2, 3, 8]"
0032665.png,2,"[2, 3, 9]"
0032666.png,9,"[9, 2, 7]"
0032667.png,2,"[2, 9, 8]"
0032674.png,2,"[2, 9, 6]"
0032687.png,2,"[2, 6, 9]"
0032702.png,2,"[2, 3, 7]"
0032714.png,2,"[2, 3, 6]"
0032730.png,2,"[2, 9, 8]"
0032731.png,2,"[2, 9, 3]"
0032732.png,2,"[2, 6, 0]"
0032735.png,2,"[2, 8, 5]"
0032736.png,2,"[2, 9, 3]"
0032739.png,2,"[2, 8, 9]"
0032740.png,2,"[2, 8, 7]"
0032744.png,2,"[2, 3, 7]"
0032755.png,2,"[2, 3, 7]"
0032768.png,2,"[2, 3, 8]"
0032780.png,6,"[6, 8, 2]"
0032783.png,2,"[2, 3, 7]"
0032787.png,2,"[2, 7, 3]"
0032792.png,2,"[2, 3, 7]"
0032794.png,2,"[2, 3, 9]"
0032795.png,2,"[2, 3, 9]"
0032797.png,2,"[2, 3, 7]"
0032798.png,2,"[2, 7, 3]"
0032812.png,2,"[2, 3, 9]"
0032814.png,2,"[2, 9, 7]"
0032815.png,2,"[2, 7, 3]"
0032818.png,2,"[2, 9, 8]"
0032820.png,2,"[2, 3, 5]"
0032822.png,2,"[2, 8, 6]"
0032828.png,2,"[2, 3, 7]"
0032833.png,2,"[2, 9, 8]"
0032836.png,2,"[2, 8, 3]"
0032841.png,2,"[2, 5, 8]"
0032844.png,2,"[2, 9, 3]"
0032845.png,2,"[2, 8, 9]"
0032847.png,2,"[2, 3, 8]"
0032854.png,2,"[2, 8, 3]"
0032856.png,2,"[2, 3, 9]"
0032858.png,2,"[2, 8, 9]"
0032860.png,2,"[2, 3, 9]"
0032864.png,2,"[2, 8, 6]"
0032869.png,2,"[2, 8, 6]"
0032873.png,2,"[2, 3, 7]"
0032876.png,2,"[2, 3, 7]"
0032884.png,2,"[2, 3, 9]"
0032893.png,2,"[2, 3, 7]"
0032896.png,2,"[2, 9, 8]"
0032898.png,2,"[2, 3, 7]"
0032906.png,3,"[3, 2, 5]"
0032907.png,2,"[2, 5, 3]"
0032909.png,2,"[2, 3, 7]"
0032910.png,2,"[2, 3, 6]"
0032918.png,2,"[2, 8, 3]"
0032925.png,2,"[2, 3, 7]"
0032926.png,2,"[2, 3, 8]"
0032928.png,2,"[2, 3, 7]"
0032936.png,2,"[2, 8, 6]"
0032942.png,2,"[2, 3, 7]"
0032951.png,2,"[2, 8, 3]"
0032953.png,2,"[2, 3, 7]"
0032955.png,2,"[2, 3, 7]"
0032960.png,2,"[2, 7, 3]"
0032964.png,2,"[2, 8, 4]"
0032967.png,2,"[2, 7, 3]"
0032969.png,2,"[2, 3, 7]"
0032970.png,2,"[2, 8, 3]"
0032972.png,2,"[2, 7, 3]"
0032973.png,2,"[2, 3, 7]"
0032974.png,2,"[2, 3, 5]"
0032978.png,2,"[2, 7, 9]"
0032989.png,2,"[2, 9, 8]"
0032998.png,2,"[2, 3, 6]"
0032999.png,2,"[2, 3, 6]"
0033002.png,2,"[2, 7, 3]"
0033003.png,2,"[2, 3, 7]"
0033007.png,2,"[2, 7, 3]"
0033014.png,2,"[2, 5, 3]"
0033022.png,2,"[2, 9, 8]"
0033027.png,2,"[2, 3, 7]"
0033030.png,2,"[2, 3, 6]"
0033031.png,2,"[2, 3, 8]"
0033039.png,2,"[2, 8, 9]"
0033049.png,2,"[2, 7, 9]"
0033050.png,2,"[2, 8, 3]"
0033051.png,2,"[2, 8, 3]"
0033056.png,2,"[2, 4, 5]"
0033061.png,2,"[2, 3, 8]"
0033070.png,8,"[8, 2, 9]"
0033076.png,2,"[2, 7, 3]"
0033079.png,2,"[2, 8, 4]"
0033088.png,2,"[2, 3, 7]"
0033089.png,2,"[2, 3, 7]"
0033108.png,2,"[2, 5, 0]"
0033117.png,2,"[2, 8, 9]"
0033119.png,2,"[2, 3, 5]"
0033123.png,2,"[2, 7, 3]"
0033126.png,2,"[2, 7, 9]"
0033136.png,2,"[2, 3, 9]"
0033141.png,2,"[2, 3, 7]"
0033146.png,2,"[2, 4, 3]"
0033147.png,2,"[2, 8, 3]"
0033148.png,2,"[2, 5, 3]"
0033149.png,2,"[2, 5, 3]"
0033151.png,2,"[2, 7, 3]"
0033152.png,2,"[2, 3, 6]"
0033156.png,2,"[2, 9, 3]"
0033161.png,2,"[2, 9, 8]"
0033163.png,2,"[2, 3, 7]"
0033172.png,2,"[2, 7, 3]"
0033173.png,2,"[2, 7, 4]"
0033183.png,2,"[2, 3, 9]"
0033194.png,2,"[2, 1, 7]"
0033196.png,2,"[2, 7, 5]"
0033202.png,2,"[2, 5, 3]"
0033210.png,2,"[2, 6, 5]"
0033220.png,2,"[2, 3, 5]"
0033239.png,2,"[2, 3, 7]"
0033243.png,2,"[2, 3, 7]"
0033247.png,2,"[2, 3, 9]"
0033249.png,2,"[2, 6, 4]"
0033261.png,2,"[2, 6, 9]"
0033264.png,2,"[2, 3, 6]"
0033269.png,2,"[2, 7, 3]"
0033270.png,0,"[0, 2, 1]"
0033276.png,2,"[2, 6, 3]"
0033279.png,2,"[2, 3, 7]"
0033280.png,2,"[2, 3, 5]"
0033281.png,2,"[2, 3, 7]"
0033284.png,2,"[2, 3, 5]"
0033286.png,2,"[2, 3, 7]"
0033287.png,3,"[3, 2, 7]"
0033288.png,2,"[2, 7, 3]"
0033289.png,2,"[2, 3, 5]"
0033295.png,3,"[3, 2, 8]"
0033296.png,2,"[2, 7, 3]"
0033305.png,2,"[2, 3, 7]"
0033317.png,2,"[2, 3, 7]"
0033318.png,2,"[2, 8, 6]"
0033319.png,2,"[2, 8, 3]"
0033320.png,2,"[2, 3, 7]"
0033321.png,2,"[2, 7, 3]"
0033333.png,3,"[3, 2, 9]"
0033335.png,2,"[2, 9, 8]"
0033338.png,2,"[2, 8, 9]"
0033342.png,2,"[2, 5, 8]"
0033345.png,2,"[2, 8, 6]"
0033350.png,2,"[2, 7, 3]"
0033355.png,2,"[2, 3, 5]"
0033356.png,2,"[2, 3, 5]"
0033358.png,2,"[2, 8, 9]"
0033361.png,2,"[2, 3, 9]"
0033369.png,2,"[2, 3, 9]"
0033371.png,9,"[9, 2, 8]"
0033379.png,2,"[2, 3, 7]"
0033380.png,2,"[2, 8, 9]"
0033382.png,2,"[2, 7, 9]"
0033394.png,2,"[2, 3, 5]"
0033395.png,2,"[2, 3, 7]"
0033402.png,2,"[2, 7, 3]"
0033403.png,2,"[2, 7, 3]"
0033404.png,2,"[2, 3, 7]"
0033408.png,8,"[8, 6, 2]"
0033410.png,2,"[2, 3, 7]"
0033421.png,2,"[2, 9, 3]"
0033437.png,2,"[2, 7, 3]"
0033438.png,2,"[2, 3, 7]"
0033439.png,2,"[2, 5, 3]"
0033442.png,2,"[2, 3, 8]"
0033452.png,2,"[2, 3, 7]"
0033454.png,2,"[2, 3, 7]"
0033456.png,2,"[2, 7, 3]"
0033458.png,8,"[8, 2, 4]"
0033459.png,2,"[2, 8, 9]"
0033466.png,2,"[2, 3, 9]"
0033468.png,2,"[2, 3, 7]"
0033474.png,2,"[2, 9, 8]"
0033475.png,2,"[2, 8, 9]"
0033477.png,2,"[2, 7, 3]"
0033478.png,2,"[2, 8, 9]"
0033479.png,2,"[2, 3, 9]"
0033480.png,2,"[2, 8, 3]"
0033482.png,2,"[2, 3, 7]"
0033483.png,2,"[2, 7, 3]"
0033484.png,2,"[2, 3, 9]"
0033485.png,2,"[2, 3, 7]"
0033493.png,2,"[2, 7, 1]"
0033494.png,2,"[2, 3, 9]"
0033501.png,2,"[2, 8, 3]"
0033502.png,8,"[8, 2, 6]"
0033510.png,2,"[2, 8, 3]"
0033520.png,8,"[8, 2, 0]"
0033535.png,2,"[2, 6, 3]"
0033542.png,2,"[2, 9, 8]"
0033543.png,2,"[2, 9, 8]"
0033544.png,2,"[2, 3, 7]"
0033546.png,3,"[3, 5, 2]"
0033551.png,2,"[2, 7, 8]"
0033553.png,2,"[2, 9, 3]"
0033555.png,2,"[2, 7, 5]"
0033563.png,2,"[2, 1, 6]"
0033565.png,2,"[2, 6, 3]"
0033572.png,2,"[2, 8, 3]"
0033578.png,3,"[3, 2, 5]"
0033584.png,2,"[2, 3, 7]"
0033588.png,8,"[8, 9, 2]"
0033592.png,4,"[4, 7, 2]"
0033599.png,8,"[8, 2, 5]"
0033617.png,2,"[2, 3, 7]"
0033622.png,2,"[2, 3, 7]"
0033632.png,2,"[2, 5, 3]"
0033633.png,2,"[2, 7, 3]"
0033635.png,1,"[1, 2, 3]"
0033638.png,2,"[2, 8, 3]"
0033639.png,2,"[2, 3, 8]"
0033643.png,2,"[2, 6, 9]"
0033650.png,2,"[2, 9, 3]"
0033666.png,2,"[2, 3, 7]"
0033667.png,2,"[2, 3, 7]"
0033671.png,6,"[6, 9, 2]"
0033677.png,2,"[2, 3, 7]"
0033678.png,2,"[2, 3, 7]"
0033679.png,2,"[2, 3, 7]"
0033682.png,2,"[2, 3, 6]"
0033684.png,2,"[2, 9, 8]"
0033696.png,2,"[2, 8, 9]"
0033710.png,2,"[2, 8, 3]"
0033711.png,2,"[2, 3, 8]"
0033723.png,2,"[2, 7, 3]"
0033727.png,2,"[2, 7, 3]"
0033730.png,2,"[2, 3, 7]"
0033732.png,2,"[2, 9, 8]"
0033737.png,2,"[2, 8, 3]"
0033752.png,2,"[2, 3, 7]"
0033756.png,2,"[2, 7, 3]"
0033780.png,2,"[2, 8, 5]"
0033781.png,2,"[2, 8, 6]"
0033783.png,2,"[2, 9, 3]"
0033784.png,2,"[2, 8, 6]"
0033789.png,2,"[2, 3, 7]"
0033791.png,2,"[2, 7, 3]"
0033798.png,2,"[2, 3, 7]"
0033802.png,2,"[2, 8, 3]"
0033805.png,2,"[2, 8, 6]"
0033826.png,2,"[2, 7, 3]"
0033833.png,2,"[2, 3, 7]"
0033835.png,2,"[2, 9, 3]"
0033842.png,2,"[2, 8, 9]"
0033845.png,2,"[2, 8, 9]"
0033847.png,2,"[2, 7, 5]"
0033852.png,2,"[2, 3, 7]"
0033858.png,2,"[2, 9, 8]"
0033860.png,2,"[2, 8, 3]"
0033861.png,2,"[2, 8, 3]"
0033862.png,2,"[2, 8, 6]"
0033865.png,2,"[2, 7, 3]"
0033866.png,2,"[2, 3, 7]"
0033872.png,2,"[2, 8, 3]"
0033876.png,2,"[2, 8, 5]"
0033883.png,2,"[2, 5, 7]"
0033888.png,2,"[2, 7, 5]"
0033896.png,2,"[2, 7, 3]"
0033904.png,2,"[2, 8, 9]"
0033906.png,2,"[2, 5, 3]"
0033921.png,2,"[2, 5, 9]"
0033922.png,2,"[2, 7, 5]"
0033924.png,2,"[2, 9, 8]"
0033925.png,2,"[2, 9, 6]"
0033936.png,2,"[2, 8, 9]"
0033942.png,7,"[7, 2, 1]"
0033944.png,2,"[2, 6, 3]"
0033950.png,3,"[3, 2, 7]"
0033951.png,2,"[2, 3, 7]"
0033984.png,2,"[2, 3, 7]"
0033987.png,2,"[2, 4, 6]"
0033989.png,2,"[2, 3, 9]"
0033992.png,5,"[5, 2, 0]"
0033999.png,2,"[2, 8, 0]"
0034000.png,2,"[2, 3, 7]"
0034024.png,2,"[2, 3, 7]"
0034025.png,2,"[2, 5, 6]"
0034032.png,2,"[2, 3, 7]"
0034036.png,2,"[2, 8, 5]"
0034039.png,2,"[2, 8, 5]"
0034046.png,2,"[2, 3, 7]"
0034047.png,2,"[2, 7, 3]"
0034049.png,2,"[2, 3, 9]"
0034066.png,2,"[2, 5, 6]"
0034068.png,2,"[2, 3, 7]"
0034077.png,2,"[2, 7, 9]"
0034079.png,2,"[2, 3, 7]"
0034088.png,9,"[9, 2, 6]"
0034092.png,2,"[2, 3, 7]"
0034093.png,2,"[2, 3, 5]"
0034094.png,2,"[2, 3, 7]"
0034097.png,2,"[2, 8, 9]"
0034102.png,2,"[2, 7, 3]"
0034105.png,2,"[2, 9, 8]"
0034107.png,2,"[2, 3, 1]"
0034109.png,2,"[2, 3, 7]"
0034115.png,2,"[2, 8, 9]"
0034119.png,2,"[2, 9, 7]"
0034124.png,2,"[2, 3, 7]"
0034132.png,2,"[2, 3, 7]"
0034134.png,2,"[2, 9, 7]"
0034137.png,2,"[2, 7, 3]"
0034138.png,2,"[2, 3, 5]"
0034147.png,2,"[2, 4, 6]"
0034149.png,2,"[2, 3, 8]"
0034155.png,2,"[2, 7, 9]"
0034162.png,2,"[2, 3, 7]"
0034163.png,7,"[7, 2, 3]"
0034167.png,2,"[2, 3, 7]"
0034171.png,2,"[2, 3, 7]"
0034175.png,2,"[2, 3, 9]"
0034177.png,2,"[2, 3, 7]"
0034189.png,2,"[2, 3, 7]"
0034192.png,2,"[2, 3, 9]"
0034194.png,2,"[2, 7, 3]"
0034199.png,2,"[2, 7, 3]"
0034202.png,2,"[2, 8, 9]"
0034203.png,2,"[2, 8, 9]"
0034204.png,2,"[2, 3, 7]"
0034205.png,2,"[2, 3, 6]"
0034207.png,2,"[2, 9, 8]"
0034212.png,2,"[2, 7, 1]"
0034220.png,2,"[2, 3, 7]"
0034225.png,2,"[2, 7, 3]"
0034227.png,2,"[2, 3, 7]"
0034228.png,2,"[2, 7, 3]"
0034247.png,2,"[2, 0, 3]"
0034248.png,2,"[2, 7, 3]"
0034252.png,2,"[2, 8, 9]"
0034266.png,2,"[2, 0, 3]"
0034275.png,2,"[2, 3, 7]"
0034278.png,2,"[2, 9, 3]"
0034279.png,2,"[2, 9, 3]"
0034291.png,2,"[2, 3, 7]"
0034295.png,2,"[2, 3, 7]"
0034298.png,2,"[2, 7, 3]"
0034299.png,2,"[2, 7, 3]"
0034308.png,2,"[2, 3, 7]"
0034312.png,2,"[2, 8, 9]"
0034345.png,2,"[2, 9, 8]"
0034347.png,2,"[2, 3, 9]"
0034349.png,2,"[2, 6, 3]"
0034351.png,2,"[2, 9, 8]"
0034352.png,2,"[2, 3, 9]"
0034355.png,2,"[2, 4, 3]"
0034364.png,2,"[2, 9, 8]"
0034366.png,2,"[2, 3, 6]"
0034367.png,2,"[2, 7, 3]"
0034371.png,2,"[2, 3, 7]"
0034373.png,2,"[2, 9, 3]"
0034383.png,2,"[2, 9, 8]"
0034384.png,2,"[2, 7, 3]"
0034385.png,2,"[2, 7, 3]"
0034391.png,2,"[2, 8, 3]"
0034394.png,2,"[2, 3, 7]"
0034397.png,2,"[2, 3, 7]"
0034403.png,2,"[2, 9, 8]"
0034405.png,2,"[2, 3, 7]"
0034410.png,2,"[2, 7, 3]"
0034423.png,2,"[2, 8, 3]"
0034434.png,9,"[9, 7, 2]"
0034440.png,2,"[2, 9, 6]"
0034445.png,2,"[2, 9, 3]"
0034446.png,2,"[2, 9, 6]"
0034447.png,2,"[2, 9, 4]"
0034454.png,5,"[5, 2, 3]"
0034457.png,2,"[2, 5, 9]"
0034459.png,3,"[3, 2, 6]"
0034460.png,2,"[2, 7, 1]"
0034475.png,2,"[2, 3, 7]"
0034476.png,8,"[8, 2, 9]"
0034478.png,2,"[2, 3, 7]"
0034481.png,2,"[2, 7, 3]"
0034490.png,8,"[8, 2, 6]"
0034498.png,2,"[2, 7, 3]"
0034500.png,2,"[2, 7, 9]"
0034511.png,2,"[2, 3, 7]"
0034514.png,2,"[2, 3, 7]"
0034515.png,2,"[2, 7, 3]"
0034516.png,2,"[2, 3, 7]"
0034520.png,2,"[2, 9, 8]"
0034531.png,2,"[2, 7, 3]"
0034548.png,2,"[2, 8, 3]"
0034550.png,2,"[2, 3, 5]"
0034561.png,2,"[2, 8, 3]"
0034568.png,2,"[2, 5, 8]"
0034581.png,2,"[2, 8, 3]"
0034586.png,2,"[2, 8, 3]"
0034591.png,2,"[2, 3, 7]"
0034599.png,2,"[2, 6, 8]"
0034609.png,2,"[2, 5, 3]"
0034610.png,8,"[8, 2, 6]"
0034614.png,2,"[2, 3, 7]"
0034618.png,2,"[2, 3, 9]"
0034619.png,2,"[2, 9, 6]"
0034621.png,2,"[2, 3, 7]"
0034622.png,2,"[2, 8, 6]"
0034623.png,2,"[2, 6, 5]"
0034626.png,2,"[2, 9, 8]"
0034627.png,2,"[2, 9, 8]"
0034634.png,2,"[2, 7, 3]"
0034639.png,2,"[2, 7, 1]"
0034649.png,2,"[2, 7, 3]"
0034660.png,2,"[2, 8, 3]"
0034665.png,2,"[2, 8, 9]"
0034667.png,2,"[2, 7, 3]"
0034669.png,2,"[2, 8, 7]"
0034670.png,2,"[2, 9, 6]"
0034706.png,2,"[2, 3, 4]"
0034708.png,2,"[2, 3, 9]"
0034713.png,2,"[2, 9, 6]"
0034721.png,2,"[2, 7, 3]"
0034724.png,2,"[2, 9, 7]"
0034726.png,2,"[2, 5, 3]"
0034732.png,2,"[2, 9, 8]"
0034741.png,5,"[5, 2, 7]"
0034746.png,2,"[2, 9, 8]"
0034757.png,2,"[2, 7, 3]"
0034761.png,2,"[2, 3, 5]"
0034765.png,2,"[2, 5, 7]"
0034767.png,2,"[2, 7, 8]"
0034770.png,2,"[2, 7, 3]"
0034771.png,2,"[2, 3, 7]"
0034777.png,2,"[2, 5, 6]"
0034792.png,2,"[2, 3, 7]"
0034797.png,2,"[2, 3, 7]"
0034803.png,2,"[2, 3, 7]"
0034804.png,2,"[2, 7, 3]"
0034810.png,2,"[2, 7, 3]"
0034813.png,2,"[2, 7, 3]"
0034814.png,2,"[2, 7, 3]"
0034817.png,2,"[2, 7, 3]"
0034822.png,2,"[2, 7, 3]"
0034827.png,2,"[2, 7, 9]"
0034837.png,2,"[2, 3, 7]"
0034846.png,2,"[2, 3, 7]"
0034848.png,2,"[2, 5, 8]"
0034881.png,2,"[2, 6, 8]"
0034882.png,2,"[2, 5, 3]"
0034885.png,2,"[2, 6, 9]"
0034886.png,2,"[2, 8, 6]"
0034892.png,2,"[2, 8, 3]"
0034901.png,2,"[2, 3, 9]"
0034909.png,2,"[2, 9, 3]"
0034915.png,2,"[2, 7, 9]"
0034920.png,9,"[9, 2, 8]"
0034923.png,2,"[2, 3, 7]"
0034924.png,2,"[2, 3, 0]"
0034927.png,2,"[2, 3, 8]"
0034928.png,2,"[2, 7, 3]"
0034932.png,0,"[0, 2, 3]"
0034933.png,3,"[3, 2, 8]"
0034934.png,2,"[2, 7, 3]"
0034943.png,2,"[2, 3, 9]"
0034946.png,2,"[2, 5, 8]"
0034948.png,2,"[2, 9, 8]"
0034951.png,8,"[8, 7, 5]"
0034954.png,2,"[2, 8, 6]"
0034961.png,2,"[2, 3, 8]"
0034964.png,8,"[8, 2, 9]"
0034966.png,2,"[2, 9, 3]"
0034967.png,2,"[2, 6, 9]"
0034968.png,2,"[2, 7, 9]"
0034974.png,2,"[2, 9, 8]"
0034975.png,2,"[2, 9, 6]"
0034977.png,2,"[2, 6, 3]"
0034990.png,2,"[2, 8, 5]"
0034996.png,2,"[2, 8, 3]"
0034997.png,2,"[2, 8, 9]"
0034999.png,2,"[2, 3, 7]"
0035011.png,2,"[2, 3, 7]"
0035014.png,2,"[2, 7, 9]"
0035024.png,2,"[2, 7, 9]"
0035026.png,2,"[2, 3, 8]"
0035028.png,2,"[2, 3, 7]"
0035030.png,2,"[2, 7, 3]"
0035032.png,2,"[2, 8, 9]"
0035033.png,2,"[2, 8, 9]"
0035040.png,2,"[2, 9, 6]"
0035042.png,2,"[2, 7, 3]"
0035047.png,2,"[2, 3, 9]"
0035048.png,2,"[2, 7, 9]"
0035062.png,2,"[2, 9, 8]"
0035064.png,2,"[2, 8, 9]"
0035068.png,2,"[2, 9, 4]"
0035078.png,2,"[2, 8, 9]"
0035081.png,2,"[2, 8, 3]"
0035085.png,2,"[2, 7, 5]"
0035087.png,2,"[2, 7, 3]"
0035092.png,2,"[2, 5, 3]"
0035094.png,2,"[2, 8, 9]"
0035095.png,2,"[2, 3, 8]"
0035107.png,2,"[2, 9, 3]"
0035112.png,2,"[2, 3, 7]"
0035113.png,2,"[2, 3, 7]"
0035119.png,2,"[2, 3, 7]"
0035121.png,2,"[2, 6, 9]"
0035123.png,2,"[2, 9, 3]"
0035125.png,2,"[2, 7, 3]"
0035136.png,2,"[2, 5, 3]"
0035145.png,2,"[2, 3, 6]"
0035149.png,2,"[2, 3, 7]"
0035158.png,2,"[2, 9, 3]"
0035165.png,2,"[2, 3, 8]"
0035166.png,2,"[2, 9, 7]"
0035171.png,2,"[2, 8, 3]"
0035187.png,2,"[2, 3, 7]"
0035195.png,2,"[2, 3, 7]"
0035201.png,2,"[2, 9, 8]"
0035204.png,2,"[2, 3, 7]"
0035208.png,2,"[2, 7, 3]"
0035218.png,2,"[2, 5, 3]"
0035233.png,2,"[2, 7, 3]"
0035237.png,2,"[2, 3, 7]"
0035239.png,2,"[2, 3, 7]"
0035247.png,2,"[2, 3, 8]"
0035248.png,2,"[2, 6, 9]"
0035250.png,2,"[2, 9, 8]"
0035251.png,2,"[2, 6, 3]"
0035268.png,2,"[2, 3, 7]"
0035269.png,2,"[2, 3, 5]"
0035284.png,2,"[2, 7, 9]"
0035286.png,8,"[8, 0, 2]"
0035291.png,2,"[2, 5, 7]"
0035292.png,2,"[2, 9, 3]"
0035299.png,2,"[2, 3, 7]"
0035303.png,2,"[2, 9, 6]"
